ID,FIRSTNAME,LASTNAME,BIRTH_DATE,JOIN_DATE
1,Paulos,Mastrogiorges,1943-01-15,2010-09-05
2,Astero,Sarre,2003-09-02,2018-01-29
3,Aristarkhos,Mpaloukides,1977-11-14,2014-01-27
4,Alike,Ntziabida,1955-04-12,2021-09-13
5,Meletios,Grammatikos,1968-05-16,2019-01-02
6,Ntaniela,Mpaphera,1989-09-08,2012-04-25
7,Andronikos,Kalamarakes,1978-04-15,2016-01-07
8,Marina,Karakuriou,1974-04-13,2022-07-16
9,Ralles,Rentzos,1974-01-11,2017-10-19
10,Odusseia,Giannopoulou,1958-08-17,2018-07-17
11,Erodotos,Kuriatsoules,1991-04-01,2019-11-12
12,Thetis,Sakellariou,1939-12-22,2018-05-13
13,Ares,Masopoulos,1995-03-22,2021-09-15
14,Kalupso,Mexe,1980-10-05,2015-09-17
15,Othon,Karakuriou,1975-09-25,2022-05-29
16,Marina,Antoniou,1962-08-21,2021-07-16
17,Antigonos,Katirtzes,1986-10-28,2016-10-24
18,Elpida,Basileiou,1951-07-21,2009-01-13
19,Kerukos,NikolaIdes,1957-10-08,2010-09-29
20,Kalliroe,Photiadou,1966-10-17,2014-12-15
21,Martinos,Kolkas,1944-10-24,2011-12-18
22,Gkolpho,Baliaka,1956-04-02,2009-01-10
23,Magdalenos,Papoudes,1922-05-28,2010-06-28
24,Khare,Sphakianake,1961-05-10,2014-10-05
25,Eumenios,Kapatsores,1953-06-13,2020-09-07
26,Kallinike,Giannopoulou,1985-10-28,2013-01-20
27,Alexios,Pagkalos,1944-09-08,2022-06-14
28,Ebe,Boultsidou,1960-08-16,2008-03-05
29,Laskares,Polukhrones,1979-09-23,2011-10-18
30,Kokkona,Zannikou,1954-06-12,2013-12-01
31,Stulianos,Tzabellas,1941-11-01,2015-12-30
32,Khrusobalantou,Drosou,1967-03-13,2015-11-26
33,Praxiteles,Kazanopoulos,2002-02-02,2010-06-25
34,Zampia,Tompre,1923-12-06,2017-11-10
35,Akribos,Zolotas,2004-04-25,2010-06-26
36,Stergianno,Naoum,1965-01-15,2010-10-16
37,Konstantinos,Roupakas,1935-01-09,2011-02-03
38,Euterpe,Khatzekharistou,1992-02-01,2012-04-04
39,Paris,Alexandropoulos,1968-07-17,2022-11-27
40,Theophile,Nantsou,1986-01-21,2014-08-25
41,Aristos,Tsoumos,1929-05-02,2018-07-18
42,Giolanta,Alexandridou,1994-08-20,2017-12-03
43,Gregorios,Maurommates,1946-05-20,2019-01-19
44,Khristophile,Ziara,1922-04-24,2017-12-25
45,Zapheirios,Tsakmakes,1929-01-07,2020-05-07
46,Doukissa,Subilia,1993-11-02,2016-03-15
47,Arkhimedes,Baboulides,1975-11-18,2008-07-29
48,Ermione,Tsikrika,1973-12-13,2015-03-20
49,Klemes,Intzes,1925-12-20,2022-02-21
50,Rousa,Tsakalakou,1991-04-08,2008-08-01
51,Odusseus,Sitopoulos,1997-03-15,2011-07-18
52,Artemis,Nika,1928-04-17,2011-01-16
53,Magdalenos,Gkaliou,2003-11-07,2011-02-15
54,Iphigeneia,Statha,1937-09-13,2009-03-31
55,Martinos,Khatziaras,1994-12-08,2016-09-30
56,Iakobina,Kazantze,1929-09-22,2017-10-30
57,Karolos,Zematikas,1935-06-07,2010-02-08
58,Pagona,Barelidou,1983-10-01,2012-06-20
59,Blasios,Bandoros,1953-10-14,2022-11-04
60,Thetis,Kouzoula,1988-09-01,2008-11-17
61,Epameinondas,Grebenares,1989-06-16,2021-08-11
62,Pagona,Kaloude,1939-08-30,2014-01-31
63,Erodotos,Khristakopoulos,1978-11-13,2014-11-27
64,Isidora,Kokkinidou,1965-07-01,2013-04-27
65,Rizos,Tsiantas,1961-11-15,2022-11-03
66,Theophulakte,Gerouke,1997-07-31,2016-03-15
67,Kleanthes,Perdikes,1935-05-24,2009-11-28
68,Paskhalia,Kasmirle,1989-09-09,2019-03-21
69,Pindaros,Athanasakes,1946-04-21,2020-04-28
70,Rodanthe,Blakhou,1993-09-29,2012-01-09
71,Theodoses,Rizoules,1933-03-26,2017-12-16
72,Demoula,Georgiadou,2000-04-11,2011-03-03
73,Bikentios,Antoniou,1933-10-04,2010-05-14
74,Philippa,Pouliase,1945-08-06,2019-08-20
75,Puthagoras,Koures,1954-05-14,2012-01-27
76,Damiane,Kholeba,1980-11-01,2013-11-26
77,Ieronumos,Konstantakopoulos,1955-02-19,2008-02-20
78,Thomais,Kalliantase,1925-09-29,2013-12-30
79,Zapheires,Stogios,1979-12-24,2014-05-06
80,Apollonia,Goula,1996-01-29,2018-05-04
81,Agapios,Spanoudakes,1994-09-24,2013-04-24
