ID,FIRSTNAME,LASTNAME,USERNAME,PASSWORD,BIRTH_DATE,JOIN_DATE
1,Theseus,Nanoures,NanouresTheseus429,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1930-07-02,2022-03-05
2,Eliana,Keskine,KeskineEliana139,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,2001-06-11,2011-05-19
3,Anaxagoras,Tsemperlides,TsemperlidesAnaxagoras651,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1991-12-03,2021-04-28
4,Theresia,Uphante,UphanteTheresia850,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1955-10-23,2011-11-13
5,Mikhales,Papoudes,PapoudesMikhales353,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1989-08-06,2017-03-17
6,Leda,Spanokhristodoulou,SpanokhristodoulouLeda20,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1975-12-23,2020-07-03
7,Aristomenes,Panouses,PanousesAristomenes527,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1934-01-26,2019-06-10
8,Diamanto,Tsiplikoph,TsiplikophDiamanto840,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1981-01-30,2017-10-21
9,Erodotos,Panos,PanosErodotos504,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1959-09-02,2016-09-14
10,Agne,Antoniou,AntoniouAgne197,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1990-03-01,2016-09-26
11,Marios,Gkioldeles,GkioldelesMarios603,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1983-07-18,2021-09-12
12,Isidora,Martzoukou,MartzoukouIsidora374,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,2000-04-05,2018-05-20
13,Alexandros,Theologos,TheologosAlexandros155,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1925-11-09,2013-03-12
14,Kallirroe,Kollia,KolliaKallirroe143,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1977-05-14,2014-11-18
15,Akribos,Pateles,PatelesAkribos616,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1986-02-17,2009-04-26
16,Pelagia,Arapidou,ArapidouPelagia296,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1953-09-12,2022-09-21
17,Theophanes,Tseas,TseasTheophanes998,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1927-05-16,2018-03-25
18,Iokaste,Zoe,ZoeIokaste946,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1994-04-05,2011-01-24
19,Ioulianos,Biolatos,BiolatosIoulianos670,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1929-10-05,2015-03-13
20,Petra,Sarre,SarrePetra794,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1947-03-13,2017-04-23
